Age,Population
0,4022
1,4034.24
2,4046.48
3,4058.72
4,4070.96
5,4083.2
6,4090.76
7,4098.32
8,4105.88
9,4113.44
10,4121
11,4146.36
12,4171.72
13,4197.08
14,4222.44
15,4247.8
16,4273.36
17,4298.92
18,4324.48
19,4350.04
20,4375.6
21,4336.2
22,4296.8
23,4257.4
24,4218
25,4178.6
26,4155.92
27,4133.24
28,4110.56
29,4087.88
30,4065.2
31,4017.76
32,3970.32
33,3922.88
34,3875.44
35,3828
36,3893.88
37,3959.76
38,4025.64
39,4091.52
40,4157.4
41,4189.24
42,4221.08
43,4252.92
44,4284.76
45,4316.6
46,4348.16
47,4379.72
48,4411.28
49,4442.84
50,4474.4
51,4398.32
52,4322.24
53,4246.16
54,4170.08
55,4094
56,3975.24
57,3856.48
58,3737.72
59,3618.96
60,3500.2
61,3344.12
62,3188.04
63,3031.96
64,2875.88
65,2719.8
66,2567.2
67,2414.6
68,2262
69,2109.4
70,1956.8
71,1858.68
72,1760.56
73,1662.44
74,1564.32
75,18.2879081692574
76,17.7062028840588
77,17.1321018075134
78,16.5654086937023
79,16.0059347969644
80,15.4534984944994
81,14.9079249324134
82,14.3690456934814
83,13.8366984850464
84,13.3107268456096
85,12.7909798687819
86,12.2773119433816
87,11.7695825085543
88,11.2676558228887
89,10.7714007465763
90,10.2806905357428
91,9.79540264814173
92,9.31541855946824
93,8.84062358960105
94,8.37090673813768
95,7.90616052863149
96,7.44628086098484
97,6.99116687149012
98,6.540720800049
99,6.09484786413205
100,5.65345613907206
101,5.21645644431391
102,4.78376223526738
103,4.35528950043621
104,3.93095666351701
105,3.51068449018223
106,3.09439599928169
107,2.68201637821295
108,2.27347290222818
109,1.8686948574599
110,1.46761346746132
111,0.01
112,0.01
113,0.01
114,0.01
115,0.01
116,0.01
117,0.01
